,Neighborhoods,Incident ID,Intersection,Street1,Street2,Latitude,Longitude,Incident Category,Incident Subcategory
0,108.0,648203,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Non-Criminal,Other
1,108.0,1021066,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Burglary,Burglary - Other
2,108.0,660664,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Shoplifting
3,108.0,702458,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Burglary,Burglary - Commercial
4,108.0,684781,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Motor Vehicle Theft,Motor Vehicle Theft
5,108.0,645094,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - From Building
6,108.0,667463,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Other
7,108.0,666299,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Warrant,Other
8,108.0,699800,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Other Miscellaneous,Other
9,108.0,676476,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Robbery,Robbery - Commercial
10,108.0,700247,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Shoplifting
11,108.0,696550,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Other
12,108.0,656291,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - From Building
